#---------------------------------------------------------------------
#
# Quantum efficiency for Kodak KAF-0401E taken from www.fli-cam.com
# 
#   wavelength   vs   QE
#     [nm]          
# 
#---------------------------------------------------------------------

250 0.0
260 0.0
270 0.0
280 0.01
290 0.04
300 0.07
310 0.12
320 0.16
330 0.18
340 0.18
350 0.22
360 0.25
370 0.28
380 0.30
390 0.34
400 0.36
410 0.37
420 0.37
430 0.38
440 0.38
450 0.39
460 0.44
470 0.49
480 0.49
490 0.47
500 0.47
510 0.50
520 0.54
530 0.55
540 0.54
550 0.56
560 0.62
570 0.67
580 0.67
590 0.65
600 0.65
610 0.69
620 0.74
630 0.72
640 0.71
650 0.70
660 0.70
670 0.70
680 0.68
690 0.64
700 0.60
710 0.57
720 0.55
730 0.54
740 0.53
750 0.52
760 0.50
770 0.46
780 0.43
790 0.41
800 0.39
810 0.38
820 0.37
830 0.36
840 0.35
850 0.34
860 0.34
870 0.32
880 0.30
890 0.28
900 0.26
910 0.24
920 0.22
930 0.19
940 0.17
950 0.15
960 0.14
970 0.12
980 0.10
990 0.08
1000 0.07
1010 0.06
1020 0.05
1030 0.04
1040 0.03
1050 0.02
1060 0.02
1070 0.01
1080 0.01
1090 0.01
1100 0.0


